,PC1_loading,PC2_loading
8.666666666666666,-8.7621185e-05,-5.0703336e-05
8.777777777777777,-7.0491245e-05,1.4321806e-06
8.88888888888889,-8.742885e-05,-5.214512e-05
9.0,-5.838614e-05,-1.578503e-05
9.11111111111111,-5.0186365e-05,3.5372483e-05
9.222222222222221,-5.318656e-05,-5.572264e-05
9.333333333333332,-4.5117984e-05,8.3582945e-06
9.444444444444445,-3.0453897e-05,-2.4610494e-05
9.555555555555555,-6.4790576e-05,2.8121067e-05
9.666666666666666,-7.987132e-05,-5.299315e-05
9.777777777777777,-6.7669214e-05,-1.8252069e-06
9.888888888888888,-5.1629115e-05,1.2412211e-05
10.0,-5.555425e-05,-1.9934096e-05
10.11111111111111,-5.4912245e-05,-3.224269e-06
10.222222222222221,-4.5198438e-05,-2.8810013e-05
10.333333333333332,-5.7091154e-05,9.560736e-06
10.444444444444445,-4.7720696e-05,5.3814306e-06
10.555555555555555,-7.464652e-05,-1.6184454e-06
10.666666666666666,-5.735931e-05,-1.4106648e-05
10.777777777777777,-7.616783e-05,-1.4780828e-05
10.888888888888888,-6.0490314e-05,-1.8478058e-05
11.0,-5.8452693e-05,7.278118e-06
11.11111111111111,-5.2028678e-05,-2.1104572e-05
11.222222222222221,-9.059625e-05,-4.61098e-05
11.333333333333332,-6.838279e-05,2.6706934e-05
11.444444444444445,-7.282635e-05,-6.826316e-05
11.555555555555555,-4.0672694e-05,-2.035965e-06
11.666666666666666,-4.7634505e-05,-7.3243755e-06
11.777777777777777,-5.4222062e-05,-1.9781068e-05
11.888888888888888,-7.025246e-05,-5.203618e-05
12.0,-8.161398e-05,-2.1809086e-05
12.11111111111111,-5.6354816e-05,-8.787234e-07
12.222222222222221,-8.1398e-05,2.4103686e-06
12.333333333333332,-7.454876e-05,-6.207429e-05
12.444444444444443,-7.687662e-05,-2.2269198e-05
12.555555555555555,-6.9455935e-05,2.1786927e-05
12.666666666666666,-5.56344e-05,-5.629226e-05
12.777777777777777,-7.5197495e-05,-3.6083202e-05
12.888888888888888,-6.900902e-05,-6.350225e-06
13.0,-5.780324e-05,-4.3390315e-05
13.11111111111111,-4.483418e-05,-5.403174e-05
13.222222222222221,-6.4796484e-05,-2.6371146e-05
13.333333333333332,-5.8463655e-05,-4.3048174e-05
13.444444444444443,-5.13478e-05,-4.5748584e-05
13.555555555555555,-4.699997e-05,-1.3243593e-06
13.666666666666666,-6.209044e-05,-3.888417e-05
13.777777777777777,-4.2421118e-05,-2.6237953e-05
13.888888888888888,-4.8036094e-05,-3.7795468e-05
14.0,-3.66124e-05,-4.215097e-05
14.11111111111111,-3.0156985e-05,1.0379305e-05
14.222222222222221,-2.5453879e-05,-7.133223e-06
14.333333333333332,-3.5933605e-05,-2.6328395e-05
14.444444444444443,-5.692458e-05,-6.761045e-06
14.555555555555555,-2.2345957e-05,4.8631522e-05
14.666666666666666,-4.6766643e-05,-1.0339344e-05
14.777777777777777,-5.1502313e-05,-2.9594365e-05
14.888888888888888,-4.201741e-05,2.6768996e-05
15.0,-4.676906e-05,-8.5755255e-06
15.11111111111111,-1.4466692e-05,8.1002e-05
15.222222222222221,-2.9862611e-05,2.6438269e-05
15.333333333333332,-5.102662e-05,-2.9519988e-05
15.444444444444443,-4.143466e-05,-3.1593096e-05
